Straftat;Kanton;Ausführungsgrad;Aufklärungsgrad;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Abhören und Aufnehmen fremder Gespräche (Art. 179bis);Zürich;Vollendet;Unaufgeklärt;1;0;0;1;0;0;1;2;0;0;0;0;0;1
Abhören und Aufnehmen fremder Gespräche (Art. 179bis);Zürich;Vollendet;Aufgeklärt;3;3;1;3;4;2;9;9;5;6;8;16;4;8
Abhören und Aufnehmen fremder Gespräche (Art. 179bis);Zürich;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abhören und Aufnehmen fremder Gespräche (Art. 179bis);Zürich;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Abhören und Aufnehmen fremder Gespräche (Art. 179bis);Appenzell Ausserrhoden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abhören und Aufnehmen fremder Gespräche (Art. 179bis);Appenzell Ausserrhoden;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Abhören und Aufnehmen fremder Gespräche (Art. 179bis);Appenzell Ausserrhoden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abhören und Aufnehmen fremder Gespräche (Art. 179bis);Appenzell Ausserrhoden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abhören und Aufnehmen fremder Gespräche (Art. 179bis);Appenzell Innerrhoden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abhören und Aufnehmen fremder Gespräche (Art. 179bis);Appenzell Innerrhoden;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abhören und Aufnehmen fremder Gespräche (Art. 179bis);Appenzell Innerrhoden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abhören und Aufnehmen fremder Gespräche (Art. 179bis);Appenzell Innerrhoden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abhören und Aufnehmen fremder Gespräche (Art. 179bis);St. Gallen;Vollendet;Unaufgeklärt;0;1;1;0;0;0;0;0;0;0;0;0;1;0
Abhören und Aufnehmen fremder Gespräche (Art. 179bis);St. Gallen;Vollendet;Aufgeklärt;1;0;0;0;1;1;1;0;1;0;1;2;2;0
Abhören und Aufnehmen fremder Gespräche (Art. 179bis);St. Gallen;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abhören und Aufnehmen fremder Gespräche (Art. 179bis);St. Gallen;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abhören und Aufnehmen fremder Gespräche (Art. 179bis);Graubünden;Vollendet;Unaufgeklärt;0;0;1;1;0;0;0;0;0;1;0;0;0;0
Abhören und Aufnehmen fremder Gespräche (Art. 179bis);Graubünden;Vollendet;Aufgeklärt;0;0;0;0;1;0;1;2;2;1;0;1;0;0
Abhören und Aufnehmen fremder Gespräche (Art. 179bis);Graubünden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abhören und Aufnehmen fremder Gespräche (Art. 179bis);Graubünden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
